Name,Preis,Datum,,,,,,
Gartenstudio in Appenzellerhaus,52 CHF,26.09.2025-29.09.2025,,,,,,
Gemütliche Wohnung über einer Bäckerei,60 CHF,26.09.2025-29.09.2025,,,,,,
"Kleines, cooles Loft im schönen Appenzellerland",100 CHF,26.09.2025-29.09.2025,,,,,,
Gemütliches kleines Häuschen mit Kamin und Garten,135 CHF,26.09.2025-29.09.2025,,,,,,
"Zwei helle Zimmer, Küche und Bad",83 CHF,26.09.2025-29.09.2025,,,,,,
"Herisau, Zuhause mittendrin und trotzdem ruhig",50 CHF,26.09.2025-29.09.2025,,,,,,
Eigene Studiowohnung mit Küche,60 CHF,26.09.2025-29.09.2025,,,,,,
Schöne Wohnung im Herzen von Herisau bis 4 Gäste,200 CHF,26.09.2025-29.09.2025,,,,,,
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",262 CHF,26.09.2025-29.09.2025,,,,,,
Nah an der Natur und ÖV vor der Tür (mit Ticket),65 CHF,26.09.2025-29.09.2025,,,,,,
"gemütliches Studio im EG, im Appenzellerland",53 CHF,26.09.2025-29.09.2025,,,,,,
Charmante Wohnung in Nähe WBZ Holzweid (HSG),130 CHF,26.09.2025-29.09.2025,,,,,,
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,26.09.2025-29.09.2025,,,,,,
St Gallen Ost G. I Olma I Zentral I Culture,374 CHF,26.09.2025-29.09.2025,,,,,,
Dein Zuhause in Herisau,140 CHF,26.09.2025-29.09.2025,,,,,,
TouchBed | Budget-Studio,199 CHF,26.09.2025-29.09.2025,,,,,,
Im Grünen nahe des Zentrum (Familienzimmer 2+2),60 CHF,26.09.2025-29.09.2025,,,,,,
"Schönes Einzelzimmer, zentral",30 CHF,26.09.2025-29.09.2025,,,,,,
"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",258 CHF,26.09.2025-29.09.2025,,,,,,
"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",262 CHF,26.09.2025-29.09.2025,,,,,,
winzige Wohnung,105 CHF,26.09.2025-29.09.2025,,,,,,
"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",220 CHF,26.09.2025-29.09.2025,,,,,,
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,26.09.2025-29.09.2025,,,,,,
Zimmer sehr zentral in Jugendstilwohnung,52 CHF,26.09.2025-29.09.2025,,,,,,
"Birkenhof, Haus Märli",500 CHF,26.09.2025-29.09.2025,,,,,,
Zimmer mit separater Dusche,38 CHF,26.09.2025-29.09.2025,,,,,,
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,26.09.2025-29.09.2025,,,,,,
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,26.09.2025-29.09.2025,,,,,,
Möbliertes Studio mit Garten W5,50 CHF,26.09.2025-29.09.2025,,,,,,
Schönes Zimmer in der Nähe von HSG,62 CHF,26.09.2025-29.09.2025,,,,,,
Ferien auf dem Billenberghof,133 CHF,09.10.2025-19.10.2025,,,,,,
"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",68 CHF,09.10.2025-19.10.2025,,,,,,
Säntis Park/Freies Parken/Netflix,59 CHF,09.10.2025-19.10.2025,,,,,,
Zur Geduld (direkt am Bahnhof),57 CHF,09.10.2025-19.10.2025,,,,,,
Gemütliche Altbauwohnung im Zentrum,87 CHF,09.10.2025-19.10.2025,,,,,,
Charmante Wohnung in Nähe WBZ Holzweid (HSG),130 CHF,09.10.2025-19.10.2025,,,,,,
Poliba St.Gallen-3 1/2 zimmer wohnung,37 CHF,09.10.2025-19.10.2025,,,,,,
Zeit,50 CHF,09.10.2025-19.10.2025,,,,,,
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",194 CHF,09.10.2025-19.10.2025,,,,,,
Einzigartige schöne Altbau- Wohnung im Zentrum,95 CHF,09.10.2025-19.10.2025,,,,,,
Schöne Wohnung im Herzen von Herisau bis 4 Gäste,124 CHF,09.10.2025-19.10.2025,,,,,,
Dein Zuhause in Herisau,84 CHF,09.10.2025-19.10.2025,,,,,,
Gemütliche Wohnung,60 CHF,09.10.2025-19.10.2025,,,,,,
Kernsanierte Wohnung nähe Bahnhof und Zentrum,105 CHF,09.10.2025-19.10.2025,,,,,,
2.5 Zimmer Dachwohnung mit Gartensitzplatz,98 CHF,09.10.2025-19.10.2025,,,,,,
Charmante Ferienwohnung 2 Zimmer W43,56 CHF,09.10.2025-19.10.2025,,,,,,
Charmante Altbauwohnung ruhig und doch zentral,75 CHF,09.10.2025-19.10.2025,,,,,,
St Gallen Ost G. I Olma I Zentral I Culture,273 CHF,09.10.2025-19.10.2025,,,,,,
Im Grünen nahe des Zentrum (Familienzimmer 2+2),47 CHF,09.10.2025-19.10.2025,,,,,,
Olma / Stadtzentrum / Cosy,126 CHF,09.10.2025-19.10.2025,,,,,,
"Schönes Einzelzimmer, zentral",30 CHF,09.10.2025-19.10.2025,,,,,,
TouchBed | Budget-Studio,109 CHF,09.10.2025-19.10.2025,,,,,,
